Country,Opportunity_Organization_Name,End_Date,End_Month,Number_of_KG,Price_per_KG_(converted)_Currency,Price_per_KG_(converted),Total_Sales_(converted)_Currency,Total_Sales_(converted),Component_Metrics:_ID
Guinea Bissau,N'DELUGAN,11/6/2022,(06) JUN 2022,175365,USD,0.9,USD,157829.5,a1Rt0000005THgc
Guinea Bissau,N'DELUGAN,13/06/2022,(06) JUN 2022,160475,USD,0.9,USD,144428.41,a1Rt0000005THgh
Guinea Bissau,N'DELUGAN,11/6/2022,(06) JUN 2022,186650,USD,0.9,USD,167986.06,a1Rt0000005THgm
Guinea Bissau,N'DELUGAN,11/6/2022,(06) JUN 2022,167865,USD,0.9,USD,151079.46,a1Rt0000005THgr
Guinea Bissau,N'DELUGAN,11/6/2022,(06) JUN 2022,162870,USD,0.9,USD,146583.93,a1Rt0000005THgw
Guinea Bissau,N'DELUGAN,11/6/2022,(06) JUN 2022,158470,USD,0.9,USD,142623.9,a1Rt0000005THh1
Guinea Bissau,N'DELUGAN,11/6/2022,(06) JUN 2022,183860,USD,0.9,USD,165475.05,a1Rt0000005THh6
Guinea Bissau,N'DELUGAN,11/6/2022,(06) JUN 2022,172360,USD,0.9,USD,155124.98,a1Rt0000005THhB
Guinea Bissau,N'DELUGAN,11/6/2022,(06) JUN 2022,148775,USD,0.9,USD,133898.35,a1Rt0000005THhG
Guinea Bissau,CONGAI,10/6/2022,(06) JUN 2022,96670,USD,0.9,USD,87003.55,a1Rt0000005TI2Z
Guinea Bissau,CONGAI,10/6/2022,(06) JUN 2022,98759,USD,0.9,USD,88883.66,a1Rt0000005TI2a
Guinea Bissau,CONGAI,10/6/2022,(06) JUN 2022,99897,USD,0.9,USD,89907.87,a1Rt0000005TI2e
Guinea Bissau,CONGAI,10/6/2022,(06) JUN 2022,96875,USD,0.9,USD,87188.05,a1Rt0000005TI2f
Guinea Bissau,CONGAI,11/6/2022,(06) JUN 2022,100960,USD,0.9,USD,90864.57,a1Rt0000005TI2j
Guinea Bissau,CONGAI,11/6/2022,(06) JUN 2022,89978,USD,0.9,USD,80980.71,a1Rt0000005TI2k
Guinea Bissau,CONGAI,12/6/2022,(06) JUN 2022,99968,USD,0.9,USD,89971.77,a1Rt0000005TI2o
Guinea Bissau,CONGAI,12/6/2022,(06) JUN 2022,90846,USD,0.9,USD,81761.92,a1Rt0000005TI2p
Guinea Bissau,CONGAI,13/06/2022,(06) JUN 2022,89657,USD,0.9,USD,80691.81,a1Rt0000005TI2t
Guinea Bissau,CONGAI,13/06/2022,(06) JUN 2022,97935,USD,0.9,USD,88142.06,a1Rt0000005TI2u
Guinea Bissau,CONGAI,13/06/2022,(06) JUN 2022,102683,USD,0.9,USD,92415.28,a1Rt0000005TI2y
Guinea Bissau,CONGAI,13/06/2022,(06) JUN 2022,100804,USD,0.9,USD,90724.17,a1Rt0000005TI2z
Guinea Bissau,CONGAI,10/6/2022,(06) JUN 2022,86498,USD,0.9,USD,77848.69,a1Rt0000005TI33
Guinea Bissau,CONGAI,10/6/2022,(06) JUN 2022,98769,USD,0.9,USD,88892.66,a1Rt0000005TI34
Guinea Bissau,CONGAI,10/6/2022,(06) JUN 2022,90687,USD,0.9,USD,81618.82,a1Rt0000005TI38
Guinea Bissau,CONGAI,10/6/2022,(06) JUN 2022,98589,USD,0.9,USD,88730.66,a1Rt0000005TI39
Guinea Bissau,CONGAI,11/6/2022,(06) JUN 2022,75680,USD,0.9,USD,68112.43,a1Rt0000005TI3D
Guinea Bissau,CONGAI,11/6/2022,(06) JUN 2022,88865,USD,0.9,USD,79979.01,a1Rt0000005TI3E
Guinea Bissau,CONGAI,12/6/2022,(06) JUN 2022,95890,USD,0.9,USD,86301.55,a1Rt0000005TI3I
Guinea Bissau,CONGAI,12/6/2022,(06) JUN 2022,97643,USD,0.9,USD,87879.26,a1Rt0000005TI3J
Guinea Bissau,CONGAI,12/6/2022,(06) JUN 2022,99020,USD,0.9,USD,89118.56,a1Rt0000005TI3N
